response,cost_type,pctl_50,pctl_25,pctl_75
unmitigated,economic_cost_closures,0,0,0
unmitigated,economic_cost_absences,2319,247,7792
school_closures,economic_cost_closures,11134,11134,11134
school_closures,economic_cost_absences,1728,172,7036
business_closures,economic_cost_closures,3055,3055,3055
business_closures,economic_cost_absences,2123,221,7480
S+B closures,economic_cost_closures,38727,38727,38727
S+B closures,economic_cost_absences,555,51,3974
